,Dim1,Dim2,tokens,article,competitor
3936,-30.40922737,5.189387798,aesthetics,8,0
4246,-29.83092308,4.690979481,aesthetics,9,0
6043,-31.21245003,3.905631304,aesthetics,12,0
6463,-29.95652199,3.595964193,aesthetics,13,0
9430,-31.42799759,5.321527481,aesthetics,22,0
9716,-31.42799759,5.321527481,aesthetics,23,0
10185,-31.45679665,3.835216045,aesthetics,24,0
10618,-31.42797661,5.321539402,aesthetics,26,1
10891,-31.40835381,5.314772129,aesthetics,27,1
11511,-30.1762352,5.801198959,aesthetics,28,1
12119,-30.20900536,5.831226349,aesthetics,30,1
12590,-30.13108826,6.088021278,aesthetics,32,1
12946,-30.67113304,4.979240894,aesthetics,33,1
13172,-30.28108215,6.011806011,aesthetics,34,1
13452,-38.54216003,-10.20673084,aesthetics,35,1
13735,-30.8737545,3.562880516,aesthetics,36,1
13921,-30.28100967,6.055147171,aesthetics,37,1
14139,-30.49048424,5.223967075,aesthetics,38,1
14253,-30.19188118,5.970563412,aesthetics,39,1
14872,-30.31904411,5.929960251,aesthetics,40,1
15150,-30.69190788,4.581197262,aesthetics,41,1
15369,-30.50402451,4.810643673,aesthetics,42,1
15858,-30.61258125,4.770463943,aesthetics,44,1
16187,-30.36517525,5.636034966,aesthetics,45,1
17208,-31.10845947,3.693906546,aesthetics,46,1
17424,-30.05804443,4.162778854,aesthetics,47,1
17649,-29.59598541,4.371695518,aesthetics,48,1
18018,-29.43525124,4.381980896,aesthetics,49,1
18483,-30.09240723,4.055790901,aesthetics,50,2
18666,-29.96113205,4.240768909,aesthetics,51,2
19340,-29.45974922,4.350902557,aesthetics,52,2
19402,-29.43525124,4.381980896,aesthetics,53,2
20378,-29.97074699,4.15987587,aesthetics,55,2
20741,-16.47561836,-18.03664017,aesthetics,56,2
21226,-25.29277611,-20.52632332,aesthetics,57,2
21287,-30.24155045,3.636576414,aesthetics,58,3
21692,-30.41733742,3.574989319,aesthetics,59,3
22323,-30.83432007,3.601570845,aesthetics,60,3
22843,-8.044944763,-25.3723011,aesthetics,61,3
23130,-17.19661331,-18.31766701,aesthetics,62,3
23634,-30.33164597,3.537265062,aesthetics,63,3
24256,-30.97407532,2.737112284,aesthetics,64,3
24484,-30.30054283,3.651481628,aesthetics,65,3
24803,-30.55843544,2.823199272,aesthetics,66,3
25475,-16.49225044,-18.09845924,aesthetics,67,3
25800,-30.00029945,4.204473019,aesthetics,68,3
26197,-30.4693222,3.519691944,aesthetics,69,3
26475,-30.83433914,3.601601839,aesthetics,70,3
27003,-30.79820824,2.654423237,aesthetics,71,3
27716,-30.89731026,2.760935545,aesthetics,72,3
28100,-30.85738754,2.725526333,aesthetics,73,3
28551,-30.91077232,2.702431202,aesthetics,74,3
28639,-30.79610825,2.550540686,aesthetics,75,3
29076,-30.43946648,2.833558083,aesthetics,76,3
29419,-30.31793785,2.948771954,aesthetics,77,3
30044,-12.51355743,-26.59837723,aesthetics,78,3
30520,-30.5424633,3.496389627,aesthetics,79,3
31075,-30.83767319,2.571323872,aesthetics,80,3
32102,-30.76689529,3.694120884,aesthetics,82,3
32999,-29.76161575,3.565048933,aesthetics,87,4
33345,-29.98655319,4.155487061,aesthetics,89,4
33608,-31.04171181,3.832679749,aesthetics,91,4
34098,-29.66581726,4.195471764,aesthetics,93,4
36465,-29.84250069,4.19609642,aesthetics,102,4
36810,-29.84249687,4.196074486,aesthetics,103,4
37111,-29.89667892,2.941552401,aesthetics,104,4
37412,-29.89694214,2.941432714,aesthetics,105,4
37517,-30.52300262,4.12996006,aesthetics,106,4
37665,-31.0592823,2.89024663,aesthetics,107,4
